Gmt time,Open,High,Low,Close,Volume
01.01.2019 00:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 01:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 02:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 03:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 04:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 05:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 06:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 07:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 08:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 09:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 10:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 11:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 12:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 13:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 14:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 15:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 16:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 17:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 18:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 19:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 20:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 21:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 22:00:00.000,1.14598,1.14672,1.14598,1.14606,2354.3101
01.01.2019 23:00:00.000,1.14605,1.14676,1.14566,1.14612,9464.5898
02.01.2019 00:00:00.000,1.14612,1.14626,1.14543,1.14561,7151.4399
02.01.2019 01:00:00.000,1.14561,1.14563,1.14457,1.14521,11411.6602
02.01.2019 02:00:00.000,1.14521,1.14533,1.14426,1.14456,14688.4697
02.01.2019 03:00:00.000,1.14456,1.14487,1.14446,1.14457,5987.1001
02.01.2019 04:00:00.000,1.14456,1.14468,1.14426,1.14449,8056.6899
02.01.2019 05:00:00.000,1.14450,1.14788,1.14449,1.14780,12619.7803
02.01.2019 06:00:00.000,1.14779,1.14967,1.14769,1.14852,14774.0098
02.01.2019 07:00:00.000,1.14851,1.14931,1.14737,1.14766,20428.5898
02.01.2019 08:00:00.000,1.14744,1.14780,1.14286,1.14480,33744.9883
02.01.2019 09:00:00.000,1.14480,1.14496,1.14221,1.14340,28228.3691
02.01.2019 10:00:00.000,1.14341,1.14418,1.14320,1.14368,24872.9199
02.01.2019 11:00:00.000,1.14369,1.14389,1.14246,1.14336,22094.3105
02.01.2019 12:00:00.000,1.14336,1.14340,1.13979,1.14051,22671.0391
02.01.2019 13:00:00.000,1.14049,1.14055,1.13674,1.13716,34630.0586
02.01.2019 14:00:00.000,1.13716,1.13752,1.13580,1.13607,34275.1016
02.01.2019 15:00:00.000,1.13609,1.13696,1.13419,1.13535,31294.3809
02.01.2019 16:00:00.000,1.13535,1.13621,1.13487,1.13563,21544.0508
02.01.2019 17:00:00.000,1.13563,1.13570,1.13313,1.13352,22075.4395
02.01.2019 18:00:00.000,1.13351,1.13362,1.13260,1.13278,17670.6992
02.01.2019 19:00:00.000,1.13278,1.13441,1.13250,1.13434,15692.4297
02.01.2019 20:00:00.000,1.13436,1.13476,1.13404,1.13455,20631.9395
02.01.2019 21:00:00.000,1.13455,1.13477,1.13400,1.13432,7704.1802
02.01.2019 22:00:00.000,1.13423,1.13541,1.13104,1.13359,8380.1602
02.01.2019 23:00:00.000,1.13359,1.13513,1.13092,1.13121,14816.8398
03.01.2019 00:00:00.000,1.13122,1.13467,1.13099,1.13397,14011.29
03.01.2019 01:00:00.000,1.13396,1.13525,1.13396,1.13484,17960
03.01.2019 02:00:00.000,1.13483,1.13615,1.13459,1.13581,17225.8203
03.01.2019 03:00:00.000,1.13581,1.13715,1.13567,1.13648,14770.71
03.01.2019 04:00:00.000,1.13648,1.13678,1.13603,1.13672,8367.8896
03.01.2019 05:00:00.000,1.13672,1.13698,1.13569,1.13609,15520.5303
03.01.2019 06:00:00.000,1.13608,1.13765,1.13548,1.13722,14357.8096
03.01.2019 07:00:00.000,1.13722,1.13768,1.13616,1.13696,26524.6309
03.01.2019 08:00:00.000,1.13696,1.13838,1.13540,1.13800,28632.9805
03.01.2019 09:00:00.000,1.13800,1.13839,1.13728,1.13757,22940.1191
03.01.2019 10:00:00.000,1.13757,1.13794,1.13633,1.13682,22385.5098
03.01.2019 11:00:00.000,1.13682,1.13717,1.13403,1.13414,22240.8008
03.01.2019 12:00:00.000,1.13414,1.13553,1.13394,1.13435,19327.0098
03.01.2019 13:00:00.000,1.13433,1.13669,1.13374,1.13654,26332.5508
03.01.2019 14:00:00.000,1.13654,1.13723,1.13613,1.13644,29879.8691
03.01.2019 15:00:00.000,1.13648,1.14092,1.13648,1.13927,45327.7109
03.01.2019 16:00:00.000,1.13926,1.14110,1.13869,1.13983,37439.1406
03.01.2019 17:00:00.000,1.13982,1.14058,1.13931,1.13987,26349.0605
03.01.2019 18:00:00.000,1.13987,1.14067,1.13962,1.14006,21777.5195
03.01.2019 19:00:00.000,1.14006,1.14038,1.13828,1.13912,20466.1406
03.01.2019 20:00:00.000,1.13914,1.14013,1.13897,1.13982,21861.6406
03.01.2019 21:00:00.000,1.13982,1.13995,1.13923,1.13924,6364
03.01.2019 22:00:00.000,1.13924,1.13985,1.13865,1.13931,4234.3799
03.01.2019 23:00:00.000,1.13930,1.13964,1.13895,1.13899,10217.0898
04.01.2019 00:00:00.000,1.13901,1.14054,1.13893,1.14052,14830.2402
04.01.2019 01:00:00.000,1.14052,1.14118,1.14027,1.14040,13881.1299
04.01.2019 02:00:00.000,1.14041,1.14076,1.13974,1.13976,10372.9004
04.01.2019 03:00:00.000,1.13975,1.13986,1.13881,1.13978,12119.6104
04.01.2019 04:00:00.000,1.13980,1.13985,1.13900,1.13941,8559.2998
04.01.2019 05:00:00.000,1.13941,1.13982,1.13894,1.13899,8144.4302
04.01.2019 06:00:00.000,1.13900,1.13940,1.13832,1.13932,9389.1904
04.01.2019 07:00:00.000,1.13933,1.14098,1.13919,1.14077,19662.8008
04.01.2019 08:00:00.000,1.14077,1.14167,1.14022,1.14079,19710
04.01.2019 09:00:00.000,1.14081,1.14189,1.14024,1.14032,20925.7793
04.01.2019 10:00:00.000,1.14032,1.14085,1.13949,1.14039,18922.4805
04.01.2019 11:00:00.000,1.14041,1.14155,1.14028,1.14114,17951.8691
04.01.2019 12:00:00.000,1.14115,1.14139,1.14046,1.14057,20008.1191
04.01.2019 13:00:00.000,1.14057,1.14077,1.13630,1.13713,30803.1992
04.01.2019 14:00:00.000,1.13713,1.13728,1.13460,1.13535,36672.0586
04.01.2019 15:00:00.000,1.13535,1.14108,1.13456,1.14104,39687.7891
04.01.2019 16:00:00.000,1.14103,1.14177,1.13996,1.14086,27690.8301
04.01.2019 17:00:00.000,1.14086,1.14117,1.13933,1.14053,18731.9707
04.01.2019 18:00:00.000,1.14053,1.14106,1.14026,1.14039,14348.54
04.01.2019 19:00:00.000,1.14039,1.14039,1.13940,1.14000,19962.3809
04.01.2019 20:00:00.000,1.14001,1.14042,1.13956,1.14028,15830.0195
04.01.2019 21:00:00.000,1.14029,1.14033,1.13943,1.13943,5549.75
06.01.2019 22:00:00.000,1.13955,1.14056,1.13954,1.14047,1511.6899
06.01.2019 23:00:00.000,1.14047,1.14129,1.14046,1.14102,10949.2598
07.01.2019 00:00:00.000,1.14102,1.14135,1.14046,1.14092,10435.4004
07.01.2019 01:00:00.000,1.14092,1.14229,1.14078,1.14210,11626.2002
07.01.2019 02:00:00.000,1.14211,1.14222,1.14171,1.14200,7903.3999
07.01.2019 03:00:00.000,1.14200,1.14255,1.14162,1.14225,8761.0801
07.01.2019 04:00:00.000,1.14225,1.14299,1.14202,1.14203,10318.1797
07.01.2019 05:00:00.000,1.14203,1.14247,1.14200,1.14234,7289.8701
07.01.2019 06:00:00.000,1.14234,1.14272,1.14142,1.14164,11014.5195
07.01.2019 07:00:00.000,1.14167,1.14389,1.14100,1.14362,21401.3809
